model,query,track,language,ndcg5,mrr5,strict1,latency_s,top1,top1_score
bge-m3,negation-cache-vi,core,vi,0.4258585191080662,0.25,0.0,2.362675999997009,negation-cache-d5,-0.5914461612701416
bge-m3,negation-cache-en,core,en,0.5113881456198478,0.5,0.0,2.2497858999995515,negation-cache-d2,1.3600165843963623
bge-m3,negation-logs-vi,core,vi,0.5741414090136012,0.5,0.0,2.03654010000173,negation-logs-d3,0.3495067059993744
bge-m3,negation-logs-en,core,en,0.7895959410076381,1.0,0.0,2.2689031999980216,negation-logs-d1,0.7583779096603394
bge-m3,and-isolation-vi,core,vi,0.9049495058460971,1.0,1.0,2.5156341999972938,and-isolation-d3,2.7730472087860107
bge-m3,and-isolation-en,core,en,0.9049495058460971,1.0,1.0,2.418128400000569,and-isolation-d3,4.193807125091553
bge-m3,or-auth-vi,core,vi,0.19073015752286024,0.2,0.0,2.008445400002529,or-auth-d5,1.3678721189498901
bge-m3,or-auth-en,core,en,0.35547474893089503,0.2,0.0,1.953125200001523,or-auth-d5,3.795701742172241
bge-m3,numeric-p95-vi,core,vi,0.882808018370203,1.0,1.0,2.1230710000018007,numeric-p95-d3,2.364809513092041
bge-m3,numeric-p95-en,core,en,0.882808018370203,1.0,1.0,2.2171841000017594,numeric-p95-d3,1.2585797309875488
bge-m3,numeric-units-vi,core,vi,0.47909084298136606,0.25,0.0,2.398543899995275,numeric-units-d0,2.4051284790039062
bge-m3,numeric-units-en,core,en,0.3881345103028465,0.25,0.0,2.3100083000026643,numeric-units-d0,1.777738332748413
bge-m3,temporal-policy-vi,core,vi,0.9049495058460971,1.0,1.0,2.0810314000045764,temporal-policy-d1,3.6947503089904785
bge-m3,temporal-policy-en,core,en,0.7895959410076381,1.0,0.0,2.0481795000014245,temporal-policy-d3,4.791016578674316
bge-m3,temporal-order-vi,core,vi,0.882808018370203,1.0,1.0,2.062092500003928,temporal-order-d5,0.07585179805755615
bge-m3,temporal-order-en,core,en,0.9049495058460971,1.0,1.0,1.9702525999964564,temporal-order-d5,2.020311117172241
bge-m3,causal-random-vi,core,vi,0.9049495058460971,1.0,1.0,2.0694147999965935,causal-random-d3,1.4232754707336426
bge-m3,causal-random-en,core,en,0.9879538239787087,1.0,1.0,1.5192996999976458,causal-random-d3,2.24460768699646
bge-m3,causal-incident-vi,core,vi,0.9220433016555235,1.0,1.0,1.0995987999995123,causal-incident-d1,-0.11617626249790192
bge-m3,causal-incident-en,core,en,0.9146628058302255,1.0,1.0,1.6904880999936722,causal-incident-d1,0.4216161370277405
bge-m3,multihop-region-vi,core,vi,0.9220433016555235,1.0,1.0,2.645410700002685,multihop-region-d4,-2.6100311279296875
bge-m3,multihop-region-en,core,en,0.9220433016555235,1.0,1.0,2.6329943999953684,multihop-region-d4,-2.0143935680389404
bge-m3,multihop-permission-vi,core,vi,0.8688109777822237,1.0,1.0,2.472401400002127,multihop-permission-d2,1.4057703018188477
bge-m3,multihop-permission-en,core,en,0.7864386820782063,1.0,1.0,2.561300900000788,multihop-permission-d2,1.508376955986023
bge-m3,code-boundary-vi,core,vi,0.7911043622741993,1.0,1.0,2.047810700001719,code-boundary-d1,3.3812928199768066
bge-m3,code-boundary-en,core,en,0.9146628058302255,1.0,1.0,2.1791144000017084,code-boundary-d1,4.29393196105957
bge-m3,code-idempotent-vi,core,vi,0.5766666455144387,0.5,0.0,2.6648609999974724,code-idempotent-d0,0.8526487350463867
bge-m3,code-idempotent-en,core,en,0.5766666455144387,0.5,0.0,2.7114694000047166,code-idempotent-d0,1.904924988746643
bge-m3,entity-owner-vi,core,vi,0.9239941662222116,1.0,1.0,2.013334000002942,entity-owner-d5,3.9636919498443604
bge-m3,entity-owner-en,core,en,0.6396122693718669,0.5,0.0,1.9280306000000564,entity-owner-d3,4.215500354766846
bge-m3,entity-version-vi,core,vi,0.9239941662222116,1.0,1.0,2.3599347000053967,entity-version-d5,2.152221202850342
bge-m3,entity-version-en,core,en,0.9220433016555235,1.0,1.0,2.406828900006076,entity-version-d5,2.531120777130127
bge-m3,crosslingual-delete-vi,core,vi,0.7591919243197319,1.0,0.0,2.5272140000015497,crosslingual-delete-d5,1.0102155208587646
bge-m3,crosslingual-delete-en,core,en,0.7363636171343382,0.5,0.0,2.6261656999995466,crosslingual-delete-d3,2.0761499404907227
bge-m3,crosslingual-retry-vi,core,vi,0.9508013338940989,1.0,1.0,2.5044974999982514,crosslingual-retry-d3,3.3456509113311768
bge-m3,crosslingual-retry-en,core,en,0.9508013338940989,1.0,1.0,2.4131452000001445,crosslingual-retry-d3,3.402695417404175
bge-m3,injection-cache-vi,core,vi,0.8688109777822237,1.0,1.0,2.2992365999962203,injection-cache-d0,1.223668098449707
bge-m3,injection-cache-en,core,en,0.8688109777822237,1.0,1.0,2.428013999997347,injection-cache-d0,2.5745604038238525
bge-m3,injection-audit-vi,core,vi,0.6920202103528978,1.0,0.0,2.239672399999108,injection-audit-d5,0.9411327242851257
bge-m3,injection-audit-en,core,en,0.9926195041747018,1.0,1.0,2.3366597999993246,injection-audit-d0,2.5509870052337646
bge-m3,evidence-measured-vi,core,vi,0.6403567395758113,1.0,0.0,2.10159840000415,evidence-measured-d4,1.25272536277771
bge-m3,evidence-measured-en,core,en,0.68154288742782,1.0,0.0,2.0611897999988287,evidence-measured-d4,-1.9504824876785278
bge-m3,evidence-quantifier-vi,core,vi,0.5218459158079205,0.3333333333333333,0.0,2.669950499999686,evidence-quantifier-d3,-0.5913168787956238
bge-m3,evidence-quantifier-en,core,en,0.7332063582049065,1.0,0.0,2.535126599999785,evidence-quantifier-d4,1.661851167678833
bge-m3,long-tail-vi,long_context,vi,0.674868692170694,1.0,0.0,15.402651900003548,long-tail-d4,1.7508093118667603
bge-m3,long-tail-en,long_context,en,0.6289425859831145,0.5,0.0,14.967869499996596,long-tail-d0,2.727081537246704
bge-m3,long-middle-vi,long_context,vi,0.674868692170694,1.0,0.0,14.203548399993451,long-middle-d5,-0.6871005296707153
bge-m3,long-middle-en,long_context,en,0.6289425859831145,0.5,0.0,15.440745599997172,long-middle-d2,0.10762662440538406
bge-m3,ood-cryobot-vi,unanswerable,vi,,,,2.4120279000053415,ood-cryobot-d0,-2.873932361602783
bge-m3,ood-cryobot-en,unanswerable,en,,,,2.4988040999960504,ood-cryobot-d0,-3.4114160537719727
bge-m3,ood-guarantee-vi,unanswerable,vi,,,,2.243679699997301,ood-guarantee-d0,-1.24733567237854
bge-m3,ood-guarantee-en,unanswerable,en,,,,2.146145200000319,ood-guarantee-d0,0.16974639892578125
bge-m3,ood-private-vi,unanswerable,vi,,,,2.482312100000854,ood-private-d3,-1.7745985984802246
bge-m3,ood-private-en,unanswerable,en,,,,2.3014638000022387,ood-private-d3,-2.720703601837158
bge-m3,ood-missing-vi,unanswerable,vi,,,,2.5794882999980473,ood-missing-d2,-3.5577340126037598
bge-m3,ood-missing-en,unanswerable,en,,,,2.4609043000018573,ood-missing-d2,-4.387491226196289
bm25,negation-cache-vi,core,vi,0.19078780801730513,0.25,0.0,0.0002742999931797385,negation-cache-d5,0.2589956936912157
bm25,negation-cache-en,core,en,0.36214894418802107,0.25,0.0,0.0003360999980941415,negation-cache-d0,6.504745983600774
bm25,negation-logs-vi,core,vi,0.5773534652239384,0.3333333333333333,0.0,0.0002314000012120232,negation-logs-d3,1.5455601416139193
bm25,negation-logs-en,core,en,0.4961847106691249,0.3333333333333333,0.0,0.00021569999807979912,negation-logs-d3,3.4325277550357827
